('1024', 'Serial', 1, 1524.38, '100/0/0')
('1024', 'Coarse-grain locking', 1, 1424.07, '100/0/0')
('1024', 'Fine-grain locking', 1, 222.54, '100/0/0')
('1024', 'Optimistic Synchronization', 1, 605.34, '100/0/0')
('1024', 'Lazy Synchronization', 1, 1469.48, '100/0/0')
('1024', 'Non-blocking Synchronization', 1, 678.45, '100/0/0')
('1024', 'Coarse-grain locking', 2, 1366.25, '100/0/0')
('1024', 'Fine-grain locking', 2, 215.46, '100/0/0')
('1024', 'Optimistic Synchronization', 2, 665.48, '100/0/0')
('1024', 'Lazy Synchronization', 2, 3001.22, '100/0/0')
('1024', 'Non-blocking Synchronization', 2, 1409.76, '100/0/0')
('1024', 'Coarse-grain locking', 4, 1278.53, '100/0/0')
('1024', 'Fine-grain locking', 4, 411.93, '100/0/0')
('1024', 'Optimistic Synchronization', 4, 764.58, '100/0/0')
('1024', 'Lazy Synchronization', 4, 5793.73, '100/0/0')
('1024', 'Non-blocking Synchronization', 4, 2692.93, '100/0/0')
('1024', 'Coarse-grain locking', 8, 1248.57, '100/0/0')
('1024', 'Fine-grain locking', 8, 491.52, '100/0/0')
('1024', 'Optimistic Synchronization', 8, 710.57, '100/0/0')
('1024', 'Lazy Synchronization', 8, 11020.94, '100/0/0')
('1024', 'Non-blocking Synchronization', 8, 5181.76, '100/0/0')
('1024', 'Coarse-grain locking', 16, 760.48, '100/0/0')
('1024', 'Fine-grain locking', 16, 215.52, '100/0/0')
('1024', 'Optimistic Synchronization', 16, 295.32, '100/0/0')
('1024', 'Lazy Synchronization', 16, 22064.49, '100/0/0')
('1024', 'Non-blocking Synchronization', 16, 10328.82, '100/0/0')
('1024', 'Coarse-grain locking', 32, 738.53, '100/0/0')
('1024', 'Fine-grain locking', 32, 123.63, '100/0/0')
('1024', 'Optimistic Synchronization', 32, 178.55, '100/0/0')
('1024', 'Lazy Synchronization', 32, 44149.45, '100/0/0')
('1024', 'Non-blocking Synchronization', 32, 20001.29, '100/0/0')
